"type","browser","machine","framework","operatingSystem","diskReadTime","disWriteTime","diskTime","ramInUse","ramAvailable","cpuProcessorTime","cpuInterrupts"
"video","firefox","Asus X55CR","react","ubuntu","undefined","undefined","undefined","2006568124.0816326","1006228542.6938776","25.31651020408163","0.47034693877551015"
"video","firefox","Asus X55CR","remix","ubuntu","undefined","undefined","undefined","2060380816.1553397","191842840.85436893","7.600281553398058","0.7427184466019416"
"image","chrome","Asus X55CR","react","Windows XP","null","null","null","NaN","NaN","null","0.2608333333333333"
"video","chrome","Asus X55CR","react","Windows XP","null","null","null","NaN","NaN","null","0.26564814814814813"
"image","chrome","Desktop PC","astro","ubuntu","undefined","undefined","undefined","2220282441.142857","7367272155.428572","26.44357142857143","1.8810000000000002"
"image","firefox","Desktop PC","astro","ubuntu","undefined","undefined","undefined","2207468202.6666665","7428448938.666667","26.38566666666667","2.6646666666666667"
"image","chrome","Desktop PC","next","ubuntu","undefined","undefined","undefined","2246391125.3333335","9020719786.666666","11.7195","2.691333333333334"
"image","chrome","Desktop PC","gatsby","ubuntu","undefined","undefined","undefined","2294525164.3076925","8971049275.076923","4.382192307692309","0.9724230769230768"
"image","firefox","Desktop PC","gatsby","ubuntu","undefined","undefined","undefined","2256088142.769231","8873277912.615385","4.457807692307693","0.6185384615384616"
"image","firefox","Desktop PC","next","ubuntu","undefined","undefined","undefined","2224910008.32","8986370375.68","4.12608","0.865"
"image","chrome","Desktop PC","react","ubuntu","undefined","undefined","undefined","1847061942.857143","12556581741.714285","10.630714285714285","3.119285714285714"
"image","firefox","Desktop PC","remix","ubuntu","undefined","undefined","undefined","2628210447.0588236","8773365880.470589","9.570411764705884","0.7561764705882354"
"video","chrome","Desktop PC","astro","ubuntu","undefined","undefined","undefined","2153686162.285714","8625005714.285715","26.41128571428571","4.559428571428572"
"image","firefox","Desktop PC","react","ubuntu","undefined","undefined","undefined","2050854912","10406823526.4","14.208000000000002","3.2567999999999997"
"image","chrome","Desktop PC","remix","ubuntu","undefined","undefined","undefined","2495672320","9540031488","15.767","6.1595"
"video","chrome","Desktop PC","gatsby","ubuntu","undefined","undefined","undefined","2305957888","8961173629.387754","2.8995306122448987","0.5178775510204082"
"video","firefox","Desktop PC","astro","ubuntu","undefined","undefined","undefined","2200749521.4545455","7793976785.454545","41.90390909090909","1.595818181818182"
"video","firefox","Desktop PC","gatsby","ubuntu","undefined","undefined","undefined","2228249282.206897","9346154778.48276","22.805620689655175","0.9762413793103447"
"video","firefox","Desktop PC","react","ubuntu","undefined","undefined","undefined","1870075373.0370371","12267290017.185184","18.001592592592594","0.8552222222222222"
"video","chrome","Desktop PC","remix","ubuntu","undefined","undefined","undefined","2422786591.3469386","9602411206.530613","4.355693877551021","1.0360204081632656"
"video","firefox","Desktop PC","remix","ubuntu","undefined","undefined","undefined","2654429735.3846154","8957819667.692308","20.78096153846154","2.3821730769230767"
"video","firefox","Desktop PC","next","ubuntu","undefined","undefined","undefined","2178969728","9405390080","19.616437500000004","2.2973125000000003"
"video","chrome","Desktop PC","react","ubuntu","undefined","undefined","undefined","1780537344","12709863833.6","14.140699999999999","2.0692"
"video","chrome","Desktop PC","next","ubuntu","undefined","undefined","undefined","2152558080","10063222272","18.63825","1.69"
"image","chrome","Desktop PC","astro","windows 10","null","7","null","7494474752","9685394432","25.307692307692307","11.479722222222222"
"image","chrome","Desktop PC","gatsby","windows 10","null","13","null","5888577536","11291291648","16.525641025641026","6.9493253968253965"
"image","firefox","Desktop PC","next","windows 10","null","8","null","5262796390.4","11917072793.6","2.4423076923076925","2.568055555555556"
"image","firefox","Desktop PC","react","windows 10","null","null","null","6359392256","10820476928","9.076923076923077","8.146944444444445"
"image","chrome","Desktop PC","remix","windows 10","null","3","null","5170919424","12008949760","15.76923076923077","15.289722222222224"
"image","chrome","Desktop PC","react","windows 10","null","4","null","6473025536","10706843648","8.692307692307692","7.986111111111112"
"image","chrome","Desktop PC","next","windows 10","null","null","null","5278248960","11901620224","2.076923076923077","1.8231944444444443"
"video","chrome","Desktop PC","astro","windows 10","1","1","null","6829123584","10350745600","27","14.834444444444443"
"video","firefox","Desktop PC","astro","windows 10","1","21","null","6910893056","10268976128","11.692307692307692","13.073240740740742"
"image","firefox","Desktop PC","remix","windows 10","null","19","null","5255741440","11924127744","15.615384615384615","14.525"
"video","firefox","Desktop PC","gatsby","windows 10","null","57","null","5612960153.6","11566909030.4","4.835164835164835","3.572837301587301"
"video","chrome","Desktop PC","gatsby","windows 10","null","2.5","null","5665624926.315789","11514244257.68421","5.298076923076923","3.2114043209876546"
"video","chrome","Desktop PC","next","windows 10","null","4","null","5299848806.4","11880020377.6","3.076923076923077","2.555462962962963"
"image","firefox","Desktop PC","gatsby","windows 10","null","1","null","5670060714.666667","11509808469.333334","3.8461538461538463","2.1285"
"video","firefox","Desktop PC","next","windows 10","null","46","null","5267552548.571428","11912316635.428572","7.0256410256410255","6.222685185185185"
"video","chrome","Desktop PC","react","windows 10","null","null","null","5783296000","11396573184","24.76923076923077","14.19361111111111"
"video","firefox","Desktop PC","react","windows 10","null","null","null","5787527168","11392342016","16.53846153846154","19.34888888888889"
"video","firefox","Desktop PC","remix","windows 10","1","14","null","5076758528","12103110656","11.038461538461538","10.225763888888888"
"video","chrome","Desktop PC","remix","windows 10","null","3","null","5061827379.2","12118041804.8","3.208791208791209","2.289320987654321"
"image","firefox","Lenovo 20Y7003XGE","astro","Windows 11","9","null","null","12932411392","4247457792","9.538461538461538","58.38333333333333"
"image","chrome","Lenovo 20Y7003XGE","astro","Windows 11","null","null","null","12749998080","4429871104","4.3076923076923075","21.250277777777775"
"image","chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","null","1","null","10264475238.4","6915393945.6","0.9615384615384615","4.520555555555555"
"image","firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","null","null","null","10340669147.428572","6839200036.571428","0.4153846153846154","4.9897685185185185"
"image","chrome","Lenovo 20Y7003XGE","next","Windows 11","null","null","null","12754970214.4","4424898969.6","0.20512820512820515","5.261527777777777"
"image","firefox","Lenovo 20Y7003XGE","next","Windows 11","null","null","null","10401294745.6","6778574438.4","0.5128205128205128","4.961875"
