"browser","machine","framework","operatingSystem","name","mimeType","losslessAverage","normalAverage","lowQualityAverage"
"firefox","Asus X55CR","astro","ubuntu","sample_1920%C3%971280","JPEG","21.5","10.25","12.75"
"firefox","Asus X55CR","astro","ubuntu","sample_5184×3456","WebP","119.75","98.75","14.75"
"firefox","Asus X55CR","astro","ubuntu","sample_1920%C3%971280","WebP","10.25","18.5","11"
"chrome","Asus X55CR","gatsby","ubuntu","sample_5184×3456","JPEG","106.77499999990687","22.50000000023283","20.52500000037253"
"chrome","Asus X55CR","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","16.649999999906868","20.524999999906868"
"chrome","Asus X55CR","gatsby","ubuntu","sample_5184×3456","WebP","93.14999999990687","99.49999999976717","15.475000000093132"
"chrome","Asus X55CR","gatsby","ubuntu","sample_1920%C3%971280","WebP","29.024999999674037","31.700000000186265","17.350000000093132"
"firefox","Asus X55CR","gatsby","ubuntu","sample_5184×3456","JPEG","78.75","15.75","12.5"
"firefox","Asus X55CR","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","11.75","14.5"
"firefox","Asus X55CR","gatsby","ubuntu","sample_5184×3456","WebP","93","96","13.25"
"firefox","Asus X55CR","gatsby","ubuntu","sample_1920%C3%971280","WebP","27.25","32.75","11.5"
"chrome","Asus X55CR","next","ubuntu","sample_5184×3456","JPEG","10.774999999906868","14.149999999906868","13.050000000046566"
"chrome","Asus X55CR","next","ubuntu","sample_1920%C3%971280","JPEG","null","13.900000000023283","24.57499999983702"
"chrome","Asus X55CR","next","ubuntu","sample_5184×3456","WebP","12.54999999993015","13.82500000006985","10.5"
"chrome","Asus X55CR","next","ubuntu","sample_1920%C3%971280","WebP","13.57500000006985","9.275000000023283","6.6750000001629815"
"firefox","Asus X55CR","next","ubuntu","sample_5184×3456","JPEG","25.75","16.25","18"
"firefox","Asus X55CR","next","ubuntu","sample_1920%C3%971280","JPEG","null","14.5","8.5"
"firefox","Asus X55CR","next","ubuntu","sample_5184×3456","WebP","15.5","19","14.5"
"firefox","Asus X55CR","next","ubuntu","sample_1920%C3%971280","WebP","5.5","14.75","5.75"
"chrome","Asus X55CR","react","ubuntu","sample_5184×3456","JPEG","13.25","12.699999999953434","12.099999999860302"
"chrome","Asus X55CR","react","ubuntu","sample_1920%C3%971280","JPEG","16.4000000001397","11.500000000465661","13.87500000023283"
"chrome","Asus X55CR","react","ubuntu","sample_5184×3456","WebP","13.424999999580905","11.650000000139698","15.650000000372529"
"chrome","Asus X55CR","react","ubuntu","sample_1920%C3%971280","WebP","17.824999999953434","12.12500000023283","8.024999999906868"
"firefox","Asus X55CR","react","ubuntu","sample_5184×3456","JPEG","28.5","14.5","20.5"
"firefox","Asus X55CR","react","ubuntu","sample_1920%C3%971280","JPEG","17.25","7.75","10.75"
"firefox","Asus X55CR","react","ubuntu","sample_5184×3456","WebP","18","17","12.75"
"firefox","Asus X55CR","react","ubuntu","sample_1920%C3%971280","WebP","13","11","9.25"
"chrome","Asus X55CR","remix","ubuntu","sample_5184×3456","JPEG","62.925000000046566","39.6500000001397","28.7750000001397"
"chrome","Asus X55CR","remix","ubuntu","sample_1920%C3%971280","JPEG","null","9.574999999953434","33.75"
"chrome","Asus X55CR","remix","ubuntu","sample_5184×3456","WebP","15.275000000139698","11.349999999860302","12.674999999813735"
"chrome","Asus X55CR","remix","ubuntu","sample_1920%C3%971280","WebP","17.4749999998603","13.024999999906868","12.474999999860302"
"firefox","Asus X55CR","remix","ubuntu","sample_5184×3456","JPEG","24.5","13.5","14.5"
"firefox","Asus X55CR","remix","ubuntu","sample_1920%C3%971280","JPEG","null","13","13.75"
"firefox","Asus X55CR","remix","ubuntu","sample_5184×3456","WebP","17.25","15.5","11.25"
"firefox","Asus X55CR","remix","ubuntu","sample_1920%C3%971280","WebP","15","6.25","4.25"
"chrome","Asus X55CR","react","Windows XP","sample_5184×3456","JPEG","13.218750000000014","7.608749999999986","32.12875000000001"
"chrome","Asus X55CR","react","Windows XP","sample_1920%C3%971280","JPEG","13.91625000000002","5.687500000000014","11.430000000000007"
"chrome","Asus X55CR","react","Windows XP","sample_5184×3456","WebP","87.63874999999999","275.60625000000005","7.662500000000051"
"chrome","Asus X55CR","react","Windows XP","sample_1920%C3%971280","WebP","16.316250000000025","9.222499999999997","5.958749999999924"
"chrome","Desktop PC","astro","ubuntu","sample_5184×3456","JPEG","8.825000000011642","9.674999999988358","9.750000000058208"
"chrome","Desktop PC","astro","ubuntu","sample_1920%C3%971280","JPEG","11.174999999988358","8.950000000011642","12.675000000104774"
"chrome","Desktop PC","astro","ubuntu","sample_5184×3456","WebP","10.54999999993015","10.649999999965075","12.29999999993015"
"chrome","Desktop PC","astro","ubuntu","sample_1920%C3%971280","WebP","12.224999999976717","11","10.299999999988358"
"firefox","Desktop PC","astro","ubuntu","sample_5184×3456","JPEG","57.5","9.75","9.75"
"firefox","Desktop PC","astro","ubuntu","sample_1920%C3%971280","JPEG","13.5","7.75","9.25"
"firefox","Desktop PC","astro","ubuntu","sample_5184×3456","WebP","80.25","71.25","8"
"firefox","Desktop PC","astro","ubuntu","sample_1920%C3%971280","WebP","19.25","18","7.5"
"chrome","Desktop PC","gatsby","ubuntu","sample_5184×3456","JPEG","27.474999999976717","13.724999999860302","8.75"
"chrome","Desktop PC","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","13.074999999837019","12.349999999976717"
"chrome","Desktop PC","gatsby","ubuntu","sample_5184×3456","WebP","9.850000000093132","10.67499999993015","8.850000000093132"
"chrome","Desktop PC","gatsby","ubuntu","sample_1920%C3%971280","WebP","6.074999999953434","11.050000000046566","8.425000000046566"
"firefox","Desktop PC","gatsby","ubuntu","sample_5184×3456","JPEG","88","14","9.75"
"firefox","Desktop PC","gatsby","ubuntu","sample_1920%C3%971280","JPEG","null","11","19"
"firefox","Desktop PC","gatsby","ubuntu","sample_5184×3456","WebP","63.75","65.75","8.25"
"firefox","Desktop PC","gatsby","ubuntu","sample_1920%C3%971280","WebP","17","18.25","8.25"
"chrome","Desktop PC","next","ubuntu","sample_5184×3456","JPEG","52.9000000001397","19.1500000001397","15.300000000162981"
"chrome","Desktop PC","next","ubuntu","sample_1920%C3%971280","JPEG","null","11.350000000093132","10.574999999953434"
"chrome","Desktop PC","next","ubuntu","sample_5184×3456","WebP","91.45000000006985","99.97500000009313","11.450000000186265"
"chrome","Desktop PC","next","ubuntu","sample_1920%C3%971280","WebP","21.32500000006985","29.850000000209548","16.0999999998603"
"firefox","Desktop PC","next","ubuntu","sample_5184×3456","JPEG","101.25","25.25","16.75"
"firefox","Desktop PC","next","ubuntu","sample_1920%C3%971280","JPEG","null","13.5","18.75"
"firefox","Desktop PC","next","ubuntu","sample_5184×3456","WebP","82.25","81.25","12"
"firefox","Desktop PC","next","ubuntu","sample_1920%C3%971280","WebP","27","22","10.75"
"chrome","Desktop PC","react","ubuntu","sample_5184×3456","JPEG","10.57500000006985","9.349999999976717","9.075000000011642"
"chrome","Desktop PC","react","ubuntu","sample_1920%C3%971280","JPEG","14.624999999941792","11.875000000058208","9.79999999993015"
"chrome","Desktop PC","react","ubuntu","sample_5184×3456","WebP","8.25","8.749999999941792","9.774999999906868"
"chrome","Desktop PC","react","ubuntu","sample_1920%C3%971280","WebP","9.475000000034925","9.975000000093132","10.175000000046566"
"firefox","Desktop PC","react","ubuntu","sample_5184×3456","JPEG","65","8.5","9.75"
